cost_center_id,cost_center_type,cost_center_name,cost_center_company_id
C001_OP1,OP,OP Cost Center 1,C001
C001_OP2,OP,OP Cost Center 2,C001
C001_OP3,OP,OP Cost Center 3,C001
C001_AD1,AD,AD Cost Center 1,C001
C001_AD2,AD,AD Cost Center 2,C001
C001_AD3,AD,AD Cost Center 3,C001
C001_CO1,CO,CO Cost Center 1,C001
C001_CO2,CO,CO Cost Center 2,C001
C001_CO3,CO,CO Cost Center 3,C001
C002_OP1,OP,OP Cost Center 1,C002
C002_OP2,OP,OP Cost Center 2,C002
C002_OP3,OP,OP Cost Center 3,C002
C002_AD1,AD,AD Cost Center 1,C002
C002_AD2,AD,AD Cost Center 2,C002
C002_AD3,AD,AD Cost Center 3,C002
C002_CO1,CO,CO Cost Center 1,C002
C002_CO2,CO,CO Cost Center 2,C002
C002_CO3,CO,CO Cost Center 3,C002
C003_OP1,OP,OP Cost Center 1,C003
C003_OP2,OP,OP Cost Center 2,C003
C003_OP3,OP,OP Cost Center 3,C003
C003_AD1,AD,AD Cost Center 1,C003
C003_AD2,AD,AD Cost Center 2,C003
C003_AD3,AD,AD Cost Center 3,C003
C003_CO1,CO,CO Cost Center 1,C003
C003_CO2,CO,CO Cost Center 2,C003
C003_CO3,CO,CO Cost Center 3,C003
C004_OP1,OP,OP Cost Center 1,C004
C004_OP2,OP,OP Cost Center 2,C004
C004_OP3,OP,OP Cost Center 3,C004
C004_AD1,AD,AD Cost Center 1,C004
C004_AD2,AD,AD Cost Center 2,C004
C004_AD3,AD,AD Cost Center 3,C004
C004_CO1,CO,CO Cost Center 1,C004
C004_CO2,CO,CO Cost Center 2,C004
C004_CO3,CO,CO Cost Center 3,C004
C005_OP1,OP,OP Cost Center 1,C005
C005_OP2,OP,OP Cost Center 2,C005
C005_OP3,OP,OP Cost Center 3,C005
C005_AD1,AD,AD Cost Center 1,C005
C005_AD2,AD,AD Cost Center 2,C005
C005_AD3,AD,AD Cost Center 3,C005
C005_CO1,CO,CO Cost Center 1,C005
C005_CO2,CO,CO Cost Center 2,C005
C005_CO3,CO,CO Cost Center 3,C005
C006_OP1,OP,OP Cost Center 1,C006
C006_OP2,OP,OP Cost Center 2,C006
C006_OP3,OP,OP Cost Center 3,C006
C006_AD1,AD,AD Cost Center 1,C006
C006_AD2,AD,AD Cost Center 2,C006
C006_AD3,AD,AD Cost Center 3,C006
C006_CO1,CO,CO Cost Center 1,C006
C006_CO2,CO,CO Cost Center 2,C006
C006_CO3,CO,CO Cost Center 3,C006
C007_OP1,OP,OP Cost Center 1,C007
C007_OP2,OP,OP Cost Center 2,C007
C007_OP3,OP,OP Cost Center 3,C007
C007_AD1,AD,AD Cost Center 1,C007
C007_AD2,AD,AD Cost Center 2,C007
C007_AD3,AD,AD Cost Center 3,C007
C007_CO1,CO,CO Cost Center 1,C007
C007_CO2,CO,CO Cost Center 2,C007
C007_CO3,CO,CO Cost Center 3,C007
C008_OP1,OP,OP Cost Center 1,C008
C008_OP2,OP,OP Cost Center 2,C008
C008_OP3,OP,OP Cost Center 3,C008
C008_AD1,AD,AD Cost Center 1,C008
C008_AD2,AD,AD Cost Center 2,C008
C008_AD3,AD,AD Cost Center 3,C008
C008_CO1,CO,CO Cost Center 1,C008
C008_CO2,CO,CO Cost Center 2,C008
C008_CO3,CO,CO Cost Center 3,C008
C009_OP1,OP,OP Cost Center 1,C009
C009_OP2,OP,OP Cost Center 2,C009
C009_OP3,OP,OP Cost Center 3,C009
C009_AD1,AD,AD Cost Center 1,C009
C009_AD2,AD,AD Cost Center 2,C009
C009_AD3,AD,AD Cost Center 3,C009
C009_CO1,CO,CO Cost Center 1,C009
C009_CO2,CO,CO Cost Center 2,C009
C009_CO3,CO,CO Cost Center 3,C009
C010_OP1,OP,OP Cost Center 1,C010
C010_OP2,OP,OP Cost Center 2,C010
C010_OP3,OP,OP Cost Center 3,C010
C010_AD1,AD,AD Cost Center 1,C010
C010_AD2,AD,AD Cost Center 2,C010
C010_AD3,AD,AD Cost Center 3,C010
C010_CO1,CO,CO Cost Center 1,C010
C010_CO2,CO,CO Cost Center 2,C010
C010_CO3,CO,CO Cost Center 3,C010
