calendar_date,fiscal_year,fiscal_month,from_currency,to_currency,fx_rate
2022-01-31,2022,1,BRL,USD,0.8745
2022-01-31,2022,1,USD,USD,1.0
2022-01-31,2022,1,EUR,USD,1.4507
2022-01-31,2022,1,GBP,USD,1.232
2022-01-31,2022,1,MXN,USD,1.0987
2022-02-28,2022,2,BRL,USD,0.656
2022-02-28,2022,2,USD,USD,1.0
2022-02-28,2022,2,EUR,USD,0.656
2022-02-28,2022,2,GBP,USD,0.5581
2022-02-28,2022,2,MXN,USD,1.3662
2022-03-31,2022,3,BRL,USD,1.1011
2022-03-31,2022,3,USD,USD,1.0
2022-03-31,2022,3,EUR,USD,1.2081
2022-03-31,2022,3,GBP,USD,0.5206
2022-03-31,2022,3,MXN,USD,1.4699
2022-04-30,2022,4,BRL,USD,1.3324
2022-04-30,2022,4,USD,USD,1.0
2022-04-30,2022,4,EUR,USD,0.7123
2022-04-30,2022,4,GBP,USD,0.6818
2022-04-30,2022,4,MXN,USD,0.6834
2022-05-31,2022,5,BRL,USD,0.8042
2022-05-31,2022,5,USD,USD,1.0
2022-05-31,2022,5,EUR,USD,1.0248
2022-05-31,2022,5,GBP,USD,0.9319
2022-05-31,2022,5,MXN,USD,0.7912
2022-06-30,2022,6,BRL,USD,1.1119
2022-06-30,2022,6,USD,USD,1.0
2022-06-30,2022,6,EUR,USD,0.6395
2022-06-30,2022,6,GBP,USD,0.7921
2022-06-30,2022,6,MXN,USD,0.8664
2022-07-31,2022,7,BRL,USD,0.9561
2022-07-31,2022,7,USD,USD,1.0
2022-07-31,2022,7,EUR,USD,1.2852
2022-07-31,2022,7,GBP,USD,0.6997
2022-07-31,2022,7,MXN,USD,1.0142
2022-08-31,2022,8,BRL,USD,1.0924
2022-08-31,2022,8,USD,USD,1.0
2022-08-31,2022,8,EUR,USD,0.5465
2022-08-31,2022,8,GBP,USD,1.1075
2022-08-31,2022,8,MXN,USD,0.6705
2022-09-30,2022,9,BRL,USD,0.5651
2022-09-30,2022,9,USD,USD,1.0
2022-09-30,2022,9,EUR,USD,1.4489
2022-09-30,2022,9,GBP,USD,1.4656
2022-09-30,2022,9,MXN,USD,1.3084
2022-10-31,2022,10,BRL,USD,0.8046
2022-10-31,2022,10,USD,USD,1.0
2022-10-31,2022,10,EUR,USD,0.5977
2022-10-31,2022,10,GBP,USD,1.1842
2022-10-31,2022,10,MXN,USD,0.9402
2022-11-30,2022,11,BRL,USD,0.622
2022-11-30,2022,11,USD,USD,1.0
2022-11-30,2022,11,EUR,USD,0.9952
2022-11-30,2022,11,GBP,USD,0.5344
2022-11-30,2022,11,MXN,USD,1.4093
2022-12-31,2022,12,BRL,USD,0.7588
2022-12-31,2022,12,USD,USD,1.0
2022-12-31,2022,12,EUR,USD,1.1625
2022-12-31,2022,12,GBP,USD,0.8117
2022-12-31,2022,12,MXN,USD,1.0201
2023-01-31,2023,1,BRL,USD,1.0467
2023-01-31,2023,1,USD,USD,1.0
2023-01-31,2023,1,EUR,USD,0.6849
2023-01-31,2023,1,GBP,USD,1.4696
2023-01-31,2023,1,MXN,USD,1.2751
2023-02-28,2023,2,BRL,USD,1.4395
2023-02-28,2023,2,USD,USD,1.0
2023-02-28,2023,2,EUR,USD,1.3948
2023-02-28,2023,2,GBP,USD,1.0979
2023-02-28,2023,2,MXN,USD,1.4219
2023-03-31,2023,3,BRL,USD,0.5885
2023-03-31,2023,3,USD,USD,1.0
2023-03-31,2023,3,EUR,USD,0.696
2023-03-31,2023,3,GBP,USD,0.5452
2023-03-31,2023,3,MXN,USD,0.8253
2023-04-30,2023,4,BRL,USD,0.8887
2023-04-30,2023,4,USD,USD,1.0
2023-04-30,2023,4,EUR,USD,0.7713
2023-04-30,2023,4,GBP,USD,1.3287
2023-04-30,2023,4,MXN,USD,0.8568
2023-05-31,2023,5,BRL,USD,0.7809
2023-05-31,2023,5,USD,USD,1.0
2023-05-31,2023,5,EUR,USD,1.0427
2023-05-31,2023,5,GBP,USD,0.6409
2023-05-31,2023,5,MXN,USD,1.3022
2023-06-30,2023,6,BRL,USD,0.5746
2023-06-30,2023,6,USD,USD,1.0
2023-06-30,2023,6,EUR,USD,1.4869
2023-06-30,2023,6,GBP,USD,1.2722
2023-06-30,2023,6,MXN,USD,0.6987
2023-07-31,2023,7,BRL,USD,0.5055
2023-07-31,2023,7,USD,USD,1.0
2023-07-31,2023,7,EUR,USD,1.3155
2023-07-31,2023,7,GBP,USD,1.2069
2023-07-31,2023,7,MXN,USD,1.229
2023-08-31,2023,8,BRL,USD,1.2713
2023-08-31,2023,8,USD,USD,1.0
2023-08-31,2023,8,EUR,USD,0.574
2023-08-31,2023,8,GBP,USD,0.8585
2023-08-31,2023,8,MXN,USD,0.6159
2023-09-30,2023,9,BRL,USD,1.3631
2023-09-30,2023,9,USD,USD,1.0
2023-09-30,2023,9,EUR,USD,1.1233
2023-09-30,2023,9,GBP,USD,0.8309
2023-09-30,2023,9,MXN,USD,0.5636
2023-10-31,2023,10,BRL,USD,0.811
2023-10-31,2023,10,USD,USD,1.0
2023-10-31,2023,10,EUR,USD,0.8252
2023-10-31,2023,10,GBP,USD,1.2296
2023-10-31,2023,10,MXN,USD,1.1376
2023-11-30,2023,11,BRL,USD,1.3872
2023-11-30,2023,11,USD,USD,1.0
2023-11-30,2023,11,EUR,USD,0.9722
2023-11-30,2023,11,GBP,USD,0.6196
2023-11-30,2023,11,MXN,USD,1.2132
2023-12-31,2023,12,BRL,USD,1.2608
2023-12-31,2023,12,USD,USD,1.0
2023-12-31,2023,12,EUR,USD,1.0613
2023-12-31,2023,12,GBP,USD,1.271
2023-12-31,2023,12,MXN,USD,0.9938
2024-01-31,2024,1,BRL,USD,1.0227
2024-01-31,2024,1,USD,USD,1.0
2024-01-31,2024,1,EUR,USD,0.9275
2024-01-31,2024,1,GBP,USD,0.5254
2024-01-31,2024,1,MXN,USD,0.6079
2024-02-29,2024,2,BRL,USD,0.5314
2024-02-29,2024,2,USD,USD,1.0
2024-02-29,2024,2,EUR,USD,1.1364
2024-02-29,2024,2,GBP,USD,0.8144
2024-02-29,2024,2,MXN,USD,1.0086
2024-03-31,2024,3,BRL,USD,1.4076
2024-03-31,2024,3,USD,USD,1.0
2024-03-31,2024,3,EUR,USD,0.7493
2024-03-31,2024,3,GBP,USD,0.9104
2024-03-31,2024,3,MXN,USD,1.2556
2024-04-30,2024,4,BRL,USD,0.7288
2024-04-30,2024,4,USD,USD,1.0
2024-04-30,2024,4,EUR,USD,0.577
2024-04-30,2024,4,GBP,USD,0.7898
2024-04-30,2024,4,MXN,USD,0.6612
2024-05-31,2024,5,BRL,USD,1.4297
2024-05-31,2024,5,USD,USD,1.0
2024-05-31,2024,5,EUR,USD,1.3081
2024-05-31,2024,5,GBP,USD,1.1334
